title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
"Jabra Evolve 20SE UC Stereo, Professional Wired On Ear Headset with Mic Great Sound & Easy Call Management",7200,4.2,270,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzg0NTg5NTA5MDU3NjI2OjE2OTI1NDU5NDY6c3BfbXRmOjIwMDkzODc5MTU2OTk4OjowOjo&url=%2FJabra-Evolve-Professional-Headset-Management%2Fdp%2FB0756KNNR9%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DOn%2Bear%2BHeadphones%26qid%3D1692545946%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/31MCV0u8S0L._SX300_SY300_QL70_ML2_.jpg,270,46,224,25,46,21,58,21,10,2,10
"Portronics Harmonics Z5 Wireless Bluetooth Stereo Headset with 33Hrs Playtime, Double EQ Mode, 14.2 mm Dynamic Drivers, Click Action Buttons(Black)",639,3.8,696,Only 1 left in stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzg0NTg5NTA5MDU3NjI2OjE2OTI1NDU5NDY6c3BfbXRmOjIwMDk0OTI2Mjc1Njk4OjowOjo&url=%2FPortronics-Harmonics-Wireless-Bluetooth-Playtime%2Fdp%2FB0BJDKG3GZ%2Fref%3Dsr_1_12_sspa%3Fkeywords%3DOn%2Bear%2BHeadphones%26qid%3D1692545946%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/31b1GDKx3+L._SY300_SX300_.jpg,696,238,481,153,215,85,45,23,10,5,16
"boAt Rockerz 370 On Ear Bluetooth Headphones with mic, Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0(Gregarious Green)",1099,4.0,36234,In stock,True,https://www.amazon.in/Rockerz-370-Headphone-Lightweight-Gregarious/dp/B0856J7XF8/ref=sr_1_13?keywords=On+ear+Headphones&qid=1692545946&sr=8-13,https://m.media-amazon.com/images/I/41HY9jfSk3L._SX300_SY300_QL70_ML2_.jpg,36234,5320,27237,3272,8997,2048,52,23,10,4,11
boAt Rockerz 400 Bluetooth On Ear Headphones with Mic with Upto 8 Hours Playback & Soft Padded Ear Cushions(Black/Red),1199,4.1,99399,In stock,True,https://www.amazon.in/Super-Rockerz-400-Bluetooth-Headphones/dp/B01FSYQ3XA/ref=sr_1_14?keywords=On+ear+Headphones&qid=1692545946&sr=8-14,https://m.media-amazon.com/images/I/41u1YzSSkWL._SX300_SY300_QL70_ML2_.jpg,99399,38514,76670,28032,22727,10482,52,25,11,4,8
boAt Rockerz 400 Bluetooth On Ear Headphones With Mic With Upto 8 Hours Playback & Soft Padded Ear Cushions(Grey/Green),999,4.1,99399,In stock,True,https://www.amazon.in/Super-Rockerz-400-Bluetooth-Headphones/dp/B01FSYQ2A4/ref=sr_1_15?keywords=On+ear+Headphones&qid=1692545946&sr=8-15,https://m.media-amazon.com/images/I/41zejggGzLL._SX300_SY300_QL70_ML2_.jpg,99399,38514,76670,28032,22727,10482,52,25,11,4,8
"boAt Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0, with Mic (Buoyant Black)",1099,4.0,36234,In stock,True,https://www.amazon.in/Rockerz-370-Headphone-Bluetooth-Lightweight/dp/B0856HNMR7/ref=sr_1_16?keywords=On+ear+Headphones&qid=1692545946&sr=8-16,https://m.media-amazon.com/images/I/41Beq4WLggL._SX300_SY300_QL70_ML2_.jpg,36234,5320,27237,3272,8997,2048,52,23,10,4,11
"Infinity by Harman Tranz 700 On Ear Wireless Headphone with Mic, 20 Hrs Playtime with Quick Charge, Deep Bass, Dual Equalizer, Bluetooth 5.0 and Voice Assistant Support (Black)",999,4.2,25061,Available to ship in 1-2 days,False,https://www.amazon.in/Infinity-Headphone-Equalizer-Bluetooth-Assistant/dp/B096KTWHVT/ref=sr_1_17?keywords=On+ear+Headphones&qid=1692545946&sr=8-17,https://m.media-amazon.com/images/I/41Ku1qcWfoS._SX300_SY300_QL70_ML2_.jpg,25061,6895,20118,5092,4943,1803,54,26,10,4,7
Sony MDR-ZX110A Wired On Ear Headphone without Mic (White),899,4.0,51093,In stock,True,https://www.amazon.in/Sony-MDR-ZX110A-Stereo-Headphones-without/dp/B00KGZZ824/ref=sr_1_18?keywords=On+ear+Headphones&qid=1692545946&sr=8-18,https://m.media-amazon.com/images/I/31ND0ZrHJAL._SX300_SY300_QL70_ML2_.jpg,51093,20369,37125,14394,13962,5975,49,24,13,5,8
"JBL Tune 760NC, Over Ear ANC Wireless Headphones with Mic, up to 50 Hours Playtime, Pure Bass, Google Fast Pair, Dual Pairing, AUX & Voice Assistant Support for Mobile Phones (Blue)",5499,3.8,33478,In stock,False,https://www.amazon.in/JBL-Cancellation-Headphones-Headphone-Assistant/dp/B096FZQ5WC/ref=sr_1_19?keywords=On+ear+Headphones&qid=1692545946&sr=8-19,https://m.media-amazon.com/images/I/41x8afAACeL._SX300_SY300_QL70_ML2_.jpg,33478,7424,30085,6065,3365,1359,46,22,12,5,15
"ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone with BTv5.0, Up to 21 Hours Playback, 40mm Drivers with Deep Bass, Wired Mode, USB-C Type Charging(Black)",799,3.6,1247,In stock,False,https://www.amazon.in/Zebronics-Zeb-Thunder-PRO-Headphone-Supporting/dp/B097JPDQR8/ref=sr_1_20?keywords=On+ear+Headphones&qid=1692545946&sr=8-20,https://m.media-amazon.com/images/I/3182XQuXhML._SX300_SY300_QL70_ML2_.jpg,1247,273,780,133,467,140,37,25,15,6,17
"Oraimo OpenCirclet Open Ear Sport Headphones,2023 New Concept Healthy & Comfort Air Conduction Open Ear Wireless Bluetooth Earphones,Best for Running Cycling Climbing",5899,4.2,187,In stock,True,https://aax-eu.amazon.in/x/c/RA9Cg2-20N7c3iDiCW2kSP8AAAGKE5mTbwMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBLDSiV/https://www.amazon.in/Oraimo-OpenCirclet-Headphones-Conduction-Bluetooth/dp/B0BS9QBNJT/ref=sxin_36_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=On+ear+Headphones&keywords=On+ear+Headphones&pd_rd_i=B0BS9QBNJT&pd_rd_r=d5b74d66-7ce0-4b07-96c1-10cf016b551f&pd_rd_w=5zvhS&pd_rd_wg=ZNrHS&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=MQ2RMK7MF20GSXCFWFWH&qid=1692545946&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/31XpgEvOD0L._SX300_SY300_QL70_ML2_.jpg,187,104,157,88,30,16,56,26,7,5,7
"Oraimo OpenCirclet Open Ear Sport Headphones,2023 New Concept Healthy & Comfort Air Conduction Open Ear Wireless Bluetooth Earphones,Best for Running Cycling Climbing",5899,4.2,187,In stock,True,https://aax-eu.amazon.in/x/c/RA9Cg2-20N7c3iDiCW2kSP8AAAGKE5mTbwMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBLDSiV/https://www.amazon.in/Oraimo-OpenCirclet-Headphones-Conduction-Bluetooth/dp/B0BS9QBNJT/ref=sxin_36_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&cv_ct_cx=On+ear+Headphones&keywords=On+ear+Headphones&pd_rd_i=B0BS9QBNJT&pd_rd_r=d5b74d66-7ce0-4b07-96c1-10cf016b551f&pd_rd_w=5zvhS&pd_rd_wg=ZNrHS&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=MQ2RMK7MF20GSXCFWFWH&qid=1692545946&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,https://m.media-amazon.com/images/I/31XpgEvOD0L._SX300_SY300_QL70_ML2_.jpg,187,104,157,88,30,16,56,26,7,5,7
"Elevea On Ear Bluetooth Wireless S109 Headphones for Running,Gyming, Yoga etc with 1 Year Warranty (Blue)",1219,0.0,0,Only 1 left in stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzg0NTg5NTA5MDU3NjI2OjE2OTI1NDU5NDY6c3BfYnRmOjIwMTI0MTc3NTQwMjk4OjowOjo&url=%2FElevea-Bluetooth-Wireless-Headphones-Warranty%2Fdp%2FB09WMM1MYJ%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DOn%2Bear%2BHeadphones%26qid%3D1692545946%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/41kMHmelxOL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,0,0,0,0,0
Drumstone(5 Years Warranty Single Earphone Wireless 18 Hours of Calling with 1 Hour Charge S109 Bluetooth Headset with Mic Designed for All Android Smartphone,995,5.0,2,Only 1 left in stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzg0NTg5NTA5MDU3NjI2OjE2OTI1NDU5NDY6c3BfYnRmOjMwMDAyNDk4MzcyODQzMjo6MDo6&url=%2FDrumstone-Warranty-Earphone-Bluetooth-Smartphone%2Fdp%2FB0BYNR491L%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DOn%2Bear%2BHeadphones%26qid%3D1692545946%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/41znbYO4n7L._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,100,0,0,0,0
"PTron Tangentbeat in-Ear Bluetooth 5.0 Wireless Headphones with Mic, Deep Bass, 10mm Drivers, Clear Calls, Dual Pairing, Fast Charging, Magnetic Buds, Voice Assistant & IPX4 Wireless Neckband (Black",599,3.8,81873,In stock,False,https://aax-eu.amazon.in/x/c/RCsyU_NKjNdtyuBUFWSuPfcAAAGKE5mTbAMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCvCKVB/https://www.amazon.in/Tangentbeat-Bluetooth-Headphones-Waterproof-Cancelation/dp/B08D77XZX5/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.71f3e964-c052-406d-85d3-3536a795e6d0%3Aamzn1.sym.71f3e964-c052-406d-85d3-3536a795e6d0&cv_ct_cx=On+ear+Headphones&keywords=On+ear+Headphones&pd_rd_i=B08D77XZX5&pd_rd_r=6852c2b8-1c70-4686-8818-72ed846d0f25&pd_rd_w=rW4Sj&pd_rd_wg=lO9JH&pf_rd_p=71f3e964-c052-406d-85d3-3536a795e6d0&pf_rd_r=MQ2RMK7MF20GSXCFWFWH&qid=1692545946&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-f1821008-9dea-4812-b2b6-4a6e4a4f2d55,https://m.media-amazon.com/images/I/41KBaLUTYHL._SX300_SY300_QL70_ML2_.jpg,81873,15175,56664,9376,25210,5799,43,24,13,6,14
"PTron Tangentbeat in-Ear Bluetooth 5.0 Wireless Headphones with Mic, Deep Bass, 10mm Drivers, Clear Calls, Dual Pairing, Fast Charging, Magnetic Buds, Voice Assistant & IPX4 Wireless Neckband (Black",599,3.8,81873,In stock,False,https://aax-eu.amazon.in/x/c/RCsyU_NKjNdtyuBUFWSuPfcAAAGKE5mTbAMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCvCKVB/https://www.amazon.in/Tangentbeat-Bluetooth-Headphones-Waterproof-Cancelation/dp/B08D77XZX5/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.71f3e964-c052-406d-85d3-3536a795e6d0%3Aamzn1.sym.71f3e964-c052-406d-85d3-3536a795e6d0&cv_ct_cx=On+ear+Headphones&keywords=On+ear+Headphones&pd_rd_i=B08D77XZX5&pd_rd_r=6852c2b8-1c70-4686-8818-72ed846d0f25&pd_rd_w=rW4Sj&pd_rd_wg=lO9JH&pf_rd_p=71f3e964-c052-406d-85d3-3536a795e6d0&pf_rd_r=MQ2RMK7MF20GSXCFWFWH&qid=1692545946&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-f1821008-9dea-4812-b2b6-4a6e4a4f2d55,https://m.media-amazon.com/images/I/41KBaLUTYHL._SX300_SY300_QL70_ML2_.jpg,81873,15175,56664,9376,25210,5799,43,24,13,6,14
