title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
"Aqua Ultra Pro Copper +zinc+ alkaline 13-L RO+UV Water Filter Purifier black for Home, Kitchen Fully Automatic UF+TDS Controller",4389,4.4,75,In stock,False,https://www.amazon.in/Pro-alkaline-Purifier-Automatic-Controller/dp/B0C6MYK6TW/ref=sr_1_9?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-9,https://m.media-amazon.com/images/I/41EFOyuwLdL._SY445_SX342_QL70_ML2_.jpg,75,59,61,51,14,8,80,0,6,6,9
"Home Puff 5-Piece Premium Kitchen Gadgets Set with Grip Handle : Beater, Peeler, Shredder, Cutter, Ice Cream Scooper, Japanese Stainless Steel",1167,3.9,93,In stock,False,https://www.amazon.in/Home-Puff-Silicone-Premium-Kitchen/dp/B06X3S735Y/ref=sr_1_10?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-10,https://m.media-amazon.com/images/I/41r9Zqpos2L._SX300_SY300_QL70_ML2_.jpg,93,34,72,29,21,5,46,23,12,12,7
"DOLPHY 42 Ltr Infrared Touchless Stainless Steel Motion-Sensor Garbage Bin, Perfect for Home, Kitchen, Office,",8299,4.2,21,In stock,False,https://www.amazon.in/Infrared-Touchless-Stainless-Garbage-Perfect/dp/B0B3XT92J9/ref=sr_1_11?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-11,https://m.media-amazon.com/images/I/31Mz6XO0mFL._SY445_SX342_QL70_ML2_.jpg,21,14,19,12,2,2,64,21,0,7,8
"HomeBasics by Home Puff Kitchen Wiper for Cleaning slabs, Windows, Glass, Bathroom Tiles, Kitchen Table, Car Auto Windshield, Kitchen Platform Cleaner, Easy to use Kitchen Wiper, Pack of 1",79,3.7,117,In stock,False,https://www.amazon.in/HomeBasics-Home-Puff-Cleaning-Windshield/dp/B0BQM71ZKN/ref=sr_1_12?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-12,https://m.media-amazon.com/images/I/41uFMViIYtL._SX300_SY300_QL70_ML2_.jpg,117,18,81,10,36,8,43,25,12,4,17
"Jiffy 14L Plastic Automatic Smart Sensor Dustbin with Lid for Home, Office, Kitchen, Bathroom, Room (Sky Blue)",2599,3.7,73,In stock,False,https://www.amazon.in/Jiffy-dustbin-Automatic-Kitchen-Bathroom/dp/B09HZDPV2S/ref=sr_1_13?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-13,https://m.media-amazon.com/images/I/31h4tjZXYuL._SY300_SX300_QL70_ML2_.jpg,73,18,50,10,23,8,48,21,7,3,21
"Home Puff 900ml Easy to use Hand Press Fruits and Vegetable Push Chopper for Kitchen, 4 Sharp Stainless Steel Blades, Unbreakable Food-Grade Plastic, Anti-Slip Base, Made in India, with Warranty",399,3.5,5,In stock,False,https://www.amazon.in/Home-Puff-Vegetable-Unbreakable-Food-Grade/dp/B0BFWC19P9/ref=sr_1_14?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-14,https://m.media-amazon.com/images/I/317SCZuB9NL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,28,46,0,0,27
"Home Puff Japanese Technology Electric Chopper, Wireless Kitchen Vegetable Chopper, One Touch Operation, 10 Second Chopping, Rechargeable, Waterproof, Stainless Steel Blades, with Warranty, 250ML, 30W",749,3.8,461,In stock,False,https://www.amazon.in/Home-Puff-Technology-Rechargeable-Waterproof/dp/B0B3H4NPJD/ref=sr_1_15?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-15,https://m.media-amazon.com/images/I/51rVGB8tGhL._SX300_SY300_QL70_ML2_.jpg,461,79,316,43,145,36,44,24,11,5,15
GLUN® Cotton Kitchen Multi Colour Apron with Front Pocket - Set of 3(Color and Design May Vary),189,3.7,19839,In stock,False,https://www.amazon.in/GLUN-Waterproof-Kitchen-Apron-Multicolour/dp/B07NWR1YX7/ref=sr_1_16?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-16,https://m.media-amazon.com/images/I/51dMzR8bhnL._SY300_SX300_QL70_ML2_.jpg,19839,2072,12050,1130,7789,942,37,24,20,9,10
"Pigeon Mio Nonstick Aluminium Cookware Gift Set, Includes Nonstick Flat Tawa, Nonstick Fry Pan, Kitchen Tool Set, Nonstick Kadai With Glass Lid, 8 Pieces Kitchen Set (Red)",1199,3.7,16431,In stock,False,https://www.amazon.in/Pigeon-Stovekraft-Aluminium-Gift-Pieces/dp/B00QEYUWPO/ref=sr_1_17?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-17,https://m.media-amazon.com/images/I/41eLuiEUgSL._SX300_SY300_QL70_ML2_.jpg,16431,2278,10897,1134,5534,1144,41,24,16,6,13
"Home Puff Japanese Technology Rechargeable Wireless Electric Chopper for Kitchen use, Vegetable Chopper for Kitchen, One Touch Operation, 10 Second Chopping, Stainless Steel Blades, Waterproof, with Warranty, 30W, 250ML",799,4.0,99,In stock,False,https://www.amazon.in/Home-Puff-Technology-Rechargeable-Waterproof/dp/B0BR3DLGQK/ref=sr_1_18?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-18,https://m.media-amazon.com/images/I/41UKlpDkw4L._SX300_SY300_QL70_ML2_.jpg,99,36,76,29,23,7,53,21,7,5,14
Rekha's Kitchen Garden: Seasonal Produce and Home-Grown Wisdom from One Gardener's Allotment Year,615,4.8,38,In stock,False,https://www.amazon.in/Rekhas-Kitchen-Garden-Home-Grown-Gardeners/dp/0241558360/ref=sr_1_19?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-19,,0,0,0,0,0,0,84,16,0,0,0
The Mexican Home Kitchen: Traditional Home-Style Recipes That Capture the Flavors and Memories of Mexico,712,4.3,3338,Not Available,False,https://www.amazon.in/Mexican-Home-Kitchen-Traditional-Home-Style-ebook/dp/B08GSRTV2R/ref=sr_1_20?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-20,,0,0,0,0,0,0,84,10,4,1,1
"SOFTSPUN Microfiber Chenille & Glass Cloth Mitt, 1 Piece Combo 1700 GSM  Grey, Multi-Purpose Super Absorbent and Perfect Wash Clean with Lint-Scratch Free Cars, Window, Kitchen, Home Dusting!",189,4.3,3810,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDI2MDI1MzI2MTU4NDc1OjE2OTIzNzcwMjM6c3BfbXRmOjIwMTE0NDM2NDM5NTk4OjowOjo&url=%2FSOFTSPUN-Microfiber-Multi-Purpose-Absorbent-Lint-Scratch%2Fdp%2FB08QDCMZT3%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DHomes%2Band%2BKitchen%26qid%3D1692377023%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/41NVshGJXnL._SX300_SY300_QL70_ML2_.jpg,3810,243,3189,192,621,51,55,29,10,3,3
Eloxee Bathroom Cleaning Brush with Wiper 2 in 1 Tiles Cleaning Brush Floor Scrub Bathroom Brush with Long Handle 120° Rotate Bathroom Floor Cleaning Brush Home Kitchen Bathroom (Wiper MOP),398,4.9,23,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDI2MDI1MzI2MTU4NDc1OjE2OTIzNzcwMjM6c3BfbXRmOjMwMDAyODI0MzE3NjgzMjo6MDo6&url=%2FEloxee-Bathroom-Cleaning-Handle-Kitchen%2Fdp%2FB0CD46LDB1%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DHomes%2Band%2BKitchen%26qid%3D1692377023%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/41H2cgeJ4zL._SX300_SY300_QL70_ML2_.jpg,0,0,0,0,0,0,93,7,0,0,0
zoomenzo Plastic Kitchen Hanging Shelf Storage Rack Self Adhesive Rectangular Box Waterproof Kitchen Bathroom Shelves and Soap Stand Holder Organizer ((2 Bathroom Shelves+ 2 Soap Box)),288,3.5,31,In stock,False,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDI2MDI1MzI2MTU4NDc1OjE2OTIzNzcwMjM6c3BfbXRmOjMwMDAzMDcxNDI4NDEzMjo6MDo6&url=%2Fzoomenzo-Adhesive-Rectangular-Waterproof-Organizer%2Fdp%2FB0BT97SNMX%2Fref%3Dsr_1_23_sspa%3Fkeywords%3DHomes%2Band%2BKitchen%26qid%3D1692377023%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/41255nQaZcL._SX300_SY300_QL70_ML2_.jpg,31,9,18,1,13,8,41,16,13,7,22
"PIXERDOT Pack of 2 Shelves Drillingless, Kitchen & Bathroom Accessories Organizer Storage Multipurpose Plastic Shelves with 4 Self Adhesive Stickers.",299,4.3,86,In stock,True,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDI2MDI1MzI2MTU4NDc1OjE2OTIzNzcwMjM6c3BfbXRmOjIwMTQ2OTM3MjY4Njk4OjowOjo&url=%2FPIXERDOT-Shelve-Drillingless-Accessories-Multipurpose%2Fdp%2FB0BPC7LRVT%2Fref%3Dsr_1_24_sspa%3Fkeywords%3DHomes%2Band%2BKitchen%26qid%3D1692377023%26sr%3D8-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/41aljtlcV+L._SY300_SX300_.jpg,86,61,73,57,13,4,73,10,3,3,11
"ALTON FAM3370 Brass Sink Mixer with Swinging Spout, Silver, Chrome Finish",1899,4.2,456,In stock,False,https://www.amazon.in/ALTON-Brass-Swinging-Mounted-Chrome/dp/B071LMR9FN/ref=sr_1_25?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-25,https://m.media-amazon.com/images/I/41HGd+thqkL._SY300_SX300_.jpg,456,84,375,63,81,21,54,27,8,4,7
"TASMAX mini waffle maker machine 3 in 1 waffle iron home appliances kitchen gift Easy to Clean, Non-Stick Surfaces, 4 Inch, Perfect for Breakfast,Dessert, Sandwich, Pan Cakes, Paninis/Other Snacks",839,3.8,39,In stock,False,https://www.amazon.in/TASMAX-appliances-Non-Stick-Surfaces-Breakfast/dp/B0BSX6774C/ref=sr_1_26?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-26,https://m.media-amazon.com/images/I/51dOtJffIiL._SY300_SX300_QL70_ML2_.jpg,39,12,29,7,10,5,55,16,6,4,19
"HomeBasics by Home Puff 22-in-1 Multipurpose Vegetable & Fruit Chopper Cutter Grater Peeler Slicer Dicer Strainer Egg Seperator Hand Protector for Kitchen,Unbreakable Food Grade Body,Easy to use (22x12x14, Plastic)",1399,3.5,495,In stock,False,https://www.amazon.in/Home-Puff-Multipurpose-Vegetable-Unbreakable/dp/B0BLGW2VFK/ref=sr_1_27?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-27,https://m.media-amazon.com/images/I/414Eu6+MF8L._SY300_SX300_.jpg,495,66,293,21,202,45,40,19,13,10,19
"Voroly Alloy Steel 4 Tire Kitchen Accessories Storage Organizer Trolley Racks&Shelf With Lockable Wheels For Home,Office,Bedroom (4 Tire,Silver)",1990,4.1,1265,In stock,True,https://www.amazon.in/Voroly-Rolling-Utility-Kitchen-Organizer/dp/B081JC6966/ref=sr_1_28?keywords=Homes+and+Kitchen&qid=1692377023&sr=8-28,https://m.media-amazon.com/images/I/61MufK3sLML._SX300_SY300_QL70_ML2_.jpg,1265,412,1027,319,238,93,58,21,7,4,10
