title,price,rating,reviews_count,availability,is_best_seller,product_link,img_link,total_ratings,total_reviews,total_positive_ratings,total_positive_reviews,total_critical_ratings,total_critical_reviews,5_star_percent,4_star_percent,3_star_percent,2_star_percent,1_star_percent
ReDesign Apparels Mens Nylon Cutsleeves/Sleeveless Compression Top for Sports,329,3.9,351,Not Available,False,https://www.amazon.in/ReDesign-Apparels-Sleeves-Sleeveless-Compression/dp/B07P494G4R/ref=sr_1_9?keywords=Men+Apparels&qid=1692378264&sr=8-9,https://m.media-amazon.com/images/I/4191Iford8L._SX300_SY300_QL70_ML2_.jpg,351,52,254,45,97,7,47,22,16,5,10
Allen Solly Men Polo,569,4.1,4086,In stock,False,https://www.amazon.in/Allen-Solly-Regular-T-Shirt-ASKPQRGFK38131_Pink/dp/B08KTXK694/ref=sr_1_10?keywords=Men+Apparels&qid=1692378264&sr=8-10,https://m.media-amazon.com/images/I/41KUtNd57bL._SX342_SY445_.jpg,4086,271,3249,203,837,68,52,26,11,4,6
"ReDesign Apparels Men's Nylon Athletic Fit Compression Pants for Gym, Running, Swimming and Sports (Large, Black)",999,4.2,1088,In stock,True,https://www.amazon.in/Redesign-Compression-Swimming-Basketball-Badminton/dp/B078WWTLC7/ref=sr_1_11?keywords=Men+Apparels&qid=1692378264&sr=8-11,https://m.media-amazon.com/images/I/318NgzrCRkL._SX300_SY300_QL70_ML2_.jpg,1088,322,892,278,196,44,58,23,8,5,6
Symbol Premium Men's Easy Care Flexi Waist Casual Pants: Slim Fit,1699,4.7,29,In stock,False,https://www.amazon.in/Symbol-Premium-Casual-Pants-SYP-CTR-01_Grey_32/dp/B0C37BMBT1/ref=sr_1_12?keywords=Men+Apparels&qid=1692378264&sr=8-12,https://m.media-amazon.com/images/I/41YScVs7MpL._SX342_SY445_.jpg,29,19,27,18,2,1,90,0,5,0,5
"JUST RIDER Men's Sports Running Set Compression Shirt + Pants Skin-Tight Long Sleeves Quick Dry Fitness Tracksuit Gym Yoga Suits (Set of 2) (Tracksuit, L)",698,3.7,122,In stock,False,https://www.amazon.in/Running-Compression-Skin-Tight-Tracksuit-Gym/dp/B0B1QKZMWH/ref=sr_1_13?keywords=Men+Apparels&qid=1692378264&sr=8-13,https://m.media-amazon.com/images/I/31zVxts4tAL._SX342_SY445_.jpg,122,17,80,11,42,6,44,21,10,4,20
Jockey 2400 Men's Super-Combed Cotton Rich Half Sleeved Thermal Undershirt with Stay Warm & Stay Fresh Technology,649,4.2,2037,In stock,False,https://www.amazon.in/Jockey-Mens-Cotton-8901326014356_2400_M_Charcoal-Melange/dp/B00W055G5C/ref=sr_1_14?keywords=Men+Apparels&qid=1692378264&sr=8-14,https://m.media-amazon.com/images/I/313Dj9hOWZL._SY445_SX342_.jpg,2037,247,1634,164,403,83,55,26,10,3,6
CHKOKKO Men Cotton Gym Tank Tops Sleeveless Sports Vest,289,4.0,1325,In stock,False,https://www.amazon.in/CHKOKKO-Cotton-Sleeveless-Sports-BottleGreen/dp/B0C7N1KDTL/ref=sr_1_15?keywords=Men+Apparels&qid=1692378264&sr=8-15,https://m.media-amazon.com/images/I/41x1FOxrMYL._SY445_SX342_.jpg,1325,122,984,83,341,39,47,27,13,5,8
FYLTR Men's Taper Fit Stretch Cotton Joggers with Elasticated Waistband & Drawstrings,849,3.8,31,In stock,False,https://www.amazon.in/FYLTR-Regular-Khakis-FYLSS23MK-003_Reindeer-Brown_32/dp/B0BZKYQP1P/ref=sr_1_16?keywords=Men+Apparels&qid=1692378264&sr=8-16,https://m.media-amazon.com/images/I/31PAPIwEzaL._SX342_SY445_.jpg,31,9,23,5,8,4,56,14,5,5,20
"Boldfit Gym Supporter for Men Sports Underwear for Men for Workout in Gym Stretchable Cotton Supporter for Gym Workout, Moisture Wicking Supporter for Cricket, Gym, Running -Black -M",349,4.3,575,In stock,False,https://www.amazon.in/Boldfit-Supporter-Underwear-Stretchable-Moisture/dp/B0BSHGZX89/ref=sr_1_17?keywords=Men+Apparels&qid=1692378264&sr=8-17,https://m.media-amazon.com/images/I/41l3owjmeBL._SX300_SY300_QL70_ML2_.jpg,575,280,498,265,77,15,60,24,6,3,6
Urbano Fashion Men's Slim Fit Jogger Jeans Stretch,849,3.6,5816,In stock,False,https://www.amazon.in/Urbano-Fashion-Stretchable-Jogger-hpsjogger-lgrey-38-fba/dp/B07D6NBQKJ/ref=sr_1_18?keywords=Men+Apparels&qid=1692378264&sr=8-18,https://m.media-amazon.com/images/I/41VpuxK9-VL._SX342_SY445_.jpg,5816,983,3638,597,2178,386,41,21,15,8,16
